Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.936,0.705900921703,51.6813631061,84.6827104057,30.8938802319,7.15675879895e-11
0.938,0.707747452698,51.5891938257,84.7123414873,30.9302722166,6.65151839096e-11
0.94,0.709597599963,51.5039504505,84.7421799968,30.9707920022,6.18189294388e-11
0.942,0.711446847439,51.4166182915,84.7716037754,31.0096145659,5.74537588024e-11
0.944,0.713294094626,51.3250253576,84.8005919749,31.0453589161,5.33963673989e-11
0.946,0.715141294236,51.2330664569,84.8292462137,31.0804869583,4.9625088276e-11
0.948,0.716985366318,51.1346534897,84.8586358865,31.1115504845,4.61197772552e-11
0.95,0.718825658963,51.0285392663,84.887561924,31.1372868722,4.28617060979e-11
0.952,0.720664887912,50.9201231549,84.9160572853,31.1610892109,3.98334631538e-11
0.954,0.72250597112,50.8151577748,84.9441710973,31.1866195127,3.70188609665e-11
0.956,0.724347153278,50.7101811837,84.9727285545,31.2119917891,3.44028503515e-11
0.958,0.726185900792,50.6002367998,85.0012617967,31.2338654091,3.19714404937e-11
0.96,0.728022878618,50.4866581717,85.0293586436,31.2529167811,2.97116246431e-11
0.962,0.729859943726,50.3730907551,85.0570455309,31.2714789675,2.76113110177e-11
0.964,0.731695868724,50.257151138,85.0847264002,31.2881637789,2.56592585495e-11
0.966,0.733531773824,50.1410311959,85.1128483226,31.304539279,2.38450171339e-11
0.968,0.735368986078,50.0273030215,85.1405833032,31.3219665609,2.21588720691e-11
0.97,0.737205896169,49.9128459417,85.1679104627,31.3384220826,2.05917923908e-11
0.972,0.739043083305,49.7987834753,85.1948420147,31.3546380884,1.91353828297e-11
0.974,0.740882130219,49.6881576681,85.2226472532,31.3730711698,1.77818391396e-11
0.976,0.742722862501,49.5806138508,85.2500851515,31.3930501226,1.65239065584e-11
0.978,0.744566371113,49.4782225856,85.2771793537,31.4159599205,1.53548411837e-11
0.98,0.74641067007,49.3771610803,85.3039068008,31.4393007009,1.42683740587e-11
0.982,0.748253554184,49.2732203883,85.3309038121,31.4605334102,1.32586777784e-11
0.984,0.750094434634,49.1653012758,85.3580278832,31.478861773,1.23203354399e-11
0.986,0.751932849851,49.0525565751,85.3847361027,31.4935013031,1.14483117716e-11
